firstname,lastname,email,is_customer,last_purchase_date,unique_id
LexcpYvXiZz,KfoNqNVVEEK,LexcpYvXiZzKfoNqNVVEEK@yahoo.com,1,12-05-2020,"create a hash combining firstname, lastname, email"
eCERDYYUClU,TTgSLTpEeHt,eCERDYYUClUTTgSLTpEeHt@outlook.com,1,12-31-2020,"create a hash combining firstname, lastname, email"
NobHcZgyogt,RTCMmzCwyKr,NobHcZgyogtRTCMmzCwyKr@gmail.com,1,12-30-2020,"create a hash combining firstname, lastname, email"
elBQrZAHQCs,nJpZPHYsgLQ,elBQrZAHQCsnJpZPHYsgLQ@outlook.com,0,12-27-2020,"create a hash combining firstname, lastname, email"
lZruyFtQlyE,IYgTJIRLTmw,lZruyFtQlyEIYgTJIRLTmw@outlook.com,0,12-03-2020,"create a hash combining firstname, lastname, email"
DXfkfHtknEP,ivdMMpSAFGm,DXfkfHtknEPivdMMpSAFGm@gmail.com,0,12-20-2020,"create a hash combining firstname, lastname, email"
bTXFJhLuJSt,StWzQgSyZSV,bTXFJhLuJStStWzQgSyZSV@outlook.com,0,12-27-2020,"create a hash combining firstname, lastname, email"
owbTkoupHMY,VotyyjWdhSX,owbTkoupHMYVotyyjWdhSX@gmail.com,0,12-03-2020,"create a hash combining firstname, lastname, email"
XPoloyisGrs,yEohdzIGlTi,XPoloyisGrsyEohdzIGlTi@yahoo.com,1,12-28-2020,"create a hash combining firstname, lastname, email"
YBcNvNbLWPJ,GjYlCvVGgUs,YBcNvNbLWPJGjYlCvVGgUs@yahoo.com,1,12-03-2020,"create a hash combining firstname, lastname, email"
gTvIUXlsNBM,zBQRCFmRidN,gTvIUXlsNBMzBQRCFmRidN@outlook.com,1,12-19-2020,"create a hash combining firstname, lastname, email"
DqhXZZZMhcc,niocRsZXCjB,DqhXZZZMhccniocRsZXCjB@gmail.com,0,12-09-2020,"create a hash combining firstname, lastname, email"
UBRFBDguKcr,AiWNShfozwy,UBRFBDguKcrAiWNShfozwy@outlook.com,0,12-27-2020,"create a hash combining firstname, lastname, email"
natXUKAvsAi,OzbwbGIObCg,natXUKAvsAiOzbwbGIObCg@yahoo.com,0,12-17-2020,"create a hash combining firstname, lastname, email"
SZvrEllGZXd,TyUZmRgWwJe,SZvrEllGZXdTyUZmRgWwJe@outlook.com,1,12-02-2020,"create a hash combining firstname, lastname, email"
xyMXNMkypYg,lUhduWHGMMT,xyMXNMkypYglUhduWHGMMT@outlook.com,1,12-19-2020,"create a hash combining firstname, lastname, email"
PBpbKSltEHJ,VQeeoCtqJfE,PBpbKSltEHJVQeeoCtqJfE@yahoo.com,0,12-29-2020,"create a hash combining firstname, lastname, email"
yWMWpClMLJP,GvXPgTWQlfm,yWMWpClMLJPGvXPgTWQlfm@yahoo.com,1,12-04-2020,"create a hash combining firstname, lastname, email"
bDmiAiiTxem,BSzQWpGzAqZ,bDmiAiiTxemBSzQWpGzAqZ@yahoo.com,0,12-30-2020,"create a hash combining firstname, lastname, email"
TzwCAnfZnxm,YenDchpvHRc,TzwCAnfZnxmYenDchpvHRc@gmail.com,0,12-24-2020,"create a hash combining firstname, lastname, email"
NjJsGMNsiTO,gWMwIjNHcLU,NjJsGMNsiTOgWMwIjNHcLU@outlook.com,0,12-19-2020,"create a hash combining firstname, lastname, email"
mraFbBEtUpw,fBUzUYFQaRk,mraFbBEtUpwfBUzUYFQaRk@outlook.com,1,12-24-2020,"create a hash combining firstname, lastname, email"
RkphHYHqLyW,FOVEyhNgqkj,RkphHYHqLyWFOVEyhNgqkj@outlook.com,0,12-23-2020,"create a hash combining firstname, lastname, email"
ZmNrwxIHTJV,tAlXBYXPxAx,ZmNrwxIHTJVtAlXBYXPxAx@yahoo.com,0,12-20-2020,"create a hash combining firstname, lastname, email"
aldzZTHGYgF,sLoBSyGqqOU,aldzZTHGYgFsLoBSyGqqOU@gmail.com,0,12-01-2020,"create a hash combining firstname, lastname, email"
